size_bytes,last_modified,service_date,file_url
1132606,2024-05-01 02:57:37+00:00,2020-01-04,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-04-subway-on-time-performance-v1.parquet
996592,2024-05-01 02:38:39+00:00,2020-01-05,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-05-subway-on-time-performance-v1.parquet
1496011,2024-05-01 04:28:36+00:00,2020-01-06,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-06-subway-on-time-performance-v1.parquet
1520097,2024-05-01 04:27:51+00:00,2020-01-07,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-07-subway-on-time-performance-v1.parquet
1537961,2024-05-01 04:05:01+00:00,2020-01-08,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-08-subway-on-time-performance-v1.parquet
1512753,2024-05-01 04:08:40+00:00,2020-01-09,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-09-subway-on-time-performance-v1.parquet
1475685,2024-05-01 03:33:16+00:00,2020-01-10,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-10-subway-on-time-performance-v1.parquet
1028945,2024-05-01 02:58:33+00:00,2020-01-11,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-11-subway-on-time-performance-v1.parquet
886352,2024-05-01 02:36:44+00:00,2020-01-12,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-12-subway-on-time-performance-v1.parquet
1510470,2024-05-01 04:41:05+00:00,2020-01-13,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-13-subway-on-time-performance-v1.parquet
1536509,2024-05-01 03:52:10+00:00,2020-01-14,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-14-subway-on-time-performance-v1.parquet
1490816,2024-05-01 02:12:58+00:00,2020-01-15,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-15-subway-on-time-performance-v1.parquet
1513382,2024-05-01 03:58:48+00:00,2020-01-16,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-16-subway-on-time-performance-v1.parquet
1439835,2024-05-01 02:19:13+00:00,2020-01-17,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-17-subway-on-time-performance-v1.parquet
1078790,2024-05-01 03:49:40+00:00,2020-01-18,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-18-subway-on-time-performance-v1.parquet
953468,2024-05-01 03:25:19+00:00,2020-01-19,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-19-subway-on-time-performance-v1.parquet
1183167,2024-05-01 03:53:15+00:00,2020-01-20,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-20-subway-on-time-performance-v1.parquet
1486174,2024-05-01 03:25:30+00:00,2020-01-21,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-21-subway-on-time-performance-v1.parquet
1429185,2024-05-01 02:49:46+00:00,2020-01-22,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-22-subway-on-time-performance-v1.parquet
1485128,2024-05-01 04:22:55+00:00,2020-01-23,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-23-subway-on-time-performance-v1.parquet
1398898,2024-05-01 02:44:03+00:00,2020-01-24,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-24-subway-on-time-performance-v1.parquet
987817,2024-05-01 04:09:50+00:00,2020-01-25,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-25-subway-on-time-performance-v1.parquet
871499,2024-05-01 02:55:19+00:00,2020-01-26,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-26-subway-on-time-performance-v1.parquet
1490092,2024-05-01 02:45:50+00:00,2020-01-27,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-27-subway-on-time-performance-v1.parquet
1446684,2024-05-01 04:24:50+00:00,2020-01-28,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-28-subway-on-time-performance-v1.parquet
1486113,2024-05-01 03:32:34+00:00,2020-01-29,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-29-subway-on-time-performance-v1.parquet
1477210,2024-05-01 02:34:40+00:00,2020-01-30,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-30-subway-on-time-performance-v1.parquet
1492099,2024-05-01 04:13:27+00:00,2020-01-31,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-01-31-subway-on-time-performance-v1.parquet
1163944,2024-05-01 04:20:04+00:00,2020-02-01,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-01-subway-on-time-performance-v1.parquet
975649,2024-05-01 03:30:11+00:00,2020-02-02,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-02-subway-on-time-performance-v1.parquet
1517738,2024-05-01 03:09:05+00:00,2020-02-03,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-03-subway-on-time-performance-v1.parquet
1524444,2024-05-01 02:56:36+00:00,2020-02-04,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-04-subway-on-time-performance-v1.parquet
1513258,2024-05-01 04:37:38+00:00,2020-02-05,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-05-subway-on-time-performance-v1.parquet
1496070,2024-05-01 03:41:10+00:00,2020-02-06,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-06-subway-on-time-performance-v1.parquet
1499466,2024-05-01 03:37:57+00:00,2020-02-07,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-07-subway-on-time-performance-v1.parquet
1035211,2024-05-01 02:09:36+00:00,2020-02-08,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-08-subway-on-time-performance-v1.parquet
922882,2024-05-01 03:08:26+00:00,2020-02-09,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-09-subway-on-time-performance-v1.parquet
1508219,2024-05-01 04:16:23+00:00,2020-02-10,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-10-subway-on-time-performance-v1.parquet
1504342,2024-05-01 02:24:34+00:00,2020-02-11,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-11-subway-on-time-performance-v1.parquet
1556449,2024-05-01 03:33:57+00:00,2020-02-12,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-12-subway-on-time-performance-v1.parquet
1519872,2024-05-01 03:09:40+00:00,2020-02-13,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-13-subway-on-time-performance-v1.parquet
1462442,2024-05-01 03:45:17+00:00,2020-02-14,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-14-subway-on-time-performance-v1.parquet
1052265,2024-05-01 03:45:55+00:00,2020-02-15,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-15-subway-on-time-performance-v1.parquet
963725,2024-05-01 03:36:42+00:00,2020-02-16,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-16-subway-on-time-performance-v1.parquet
1152285,2024-05-01 03:06:13+00:00,2020-02-17,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-17-subway-on-time-performance-v1.parquet
1517640,2024-05-01 02:15:41+00:00,2020-02-18,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-18-subway-on-time-performance-v1.parquet
1541719,2024-05-01 02:13:58+00:00,2020-02-19,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-19-subway-on-time-performance-v1.parquet
